month;price
apr-16;22.16
maj-16;21.84
jun-16;22.59
jul-16;24.97
aug-16;24.23
sep-16;24.62
okt-16;26.62
nov-16;28.54
dec-16;29.41
jan-17;30.29
feb-17;30.71
mar-17;30.46
apr-17;27.84
maj-17;25.94
jun-17;26.59
jul-17;26.61
aug-17;28.14
sep-17;28.92
okt-17;31.28
nov-17;29.30
dec-17;30.58
jan-18;29.3
feb-18;30.2
mar-18;32.6
apr-18;33.5
maj-18;31.9
jun-18;32.4
jul-18;39.4
aug-18;42.3
sep-18;43.7
okt-18;44.9
nov-18;44.0
dec-18;45.6
jan-19;43.7
feb-19;45.2
mar-19;43.1
apr-19;40.0
maj-19;40.0
jun-19;39.4
jul-19;37.9
aug-19;39.1
sep-19;36.8
okt-19;38.4
nov-19;39.4
dec-19;39.6
jan-20;37.8
feb-20;35.6
mar-20;33.8
apr-20;27.0
maj-20;26.0
jun-20;26.5
jul-20;28.1
aug-20;28.5
sep-20;27.3
okt-20;32.8
nov-20;29.3
dec-20;32.7
jan-21;31.9
feb-21;38.1
mar-21;37.5
apr-21;39.7
maj-21;40.8
jun-21;42.8
jul-21;56.1
aug-21;59.7
sep-21;60.8
okt-21;86.1
nov-21;83.6
dec-21;89.9
jan-22;140.4
feb-22;117.8
mar-22;116.0
